experiment_id,group_id,element_id,round,target,mask_position_score_1_5,mask_size_score_1_5,mask_ground_score_1_5,mask_single_clear_score_1_5,character_present_identity_score_1_5,character_placement_score_1_5,character_grounding_score_1_5,interaction_score_1_5,scene_style_preservation_score_1_5,failure_tags,review_note,auto_mask_diameter_px,auto_mask_center_x,auto_mask_center_y
G03-E2-R1,G03,E2,1,横向倒木前湿石,4,2,3,5,3,2,4,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,圆落在倒木前湿石区域，但角色只普通站立，没有扶木跨越。,65.4,665.83,636.75
G03-E2-R2,G03,E2,2,横向倒木前湿石,4,3,3,5,4,3,4,2,3,mask_size_drift;character_outside_mask;background_drift;interaction_mismatch,位置接近目标但两轮中心漂移约 54px，角色没有执行指定互动。,84.61,693.56,683.16
G04-E1-R1,G04,E1,1,前景浅水石滩,5,3,5,5,4,3,4,4,3,mask_size_drift;character_outside_mask,准确落在前景石滩，蹲姿与观察水面成立，角色略大于原圆。,89.9,662.38,542.94
G04-E1-R2,G04,E1,2,前景浅水石滩,5,3,5,5,4,3,4,4,3,mask_size_drift;character_outside_mask,语义与动作稳定，尺寸仍比 108px 小约 32px。,75.96,680.96,584.47
G04-E2-R1,G04,E2,1,湖岸靠雪山方向的岸草,3,1,4,5,2,2,3,2,3,mask_wrong_target;mask_size_drift;character_outside_mask;interaction_mismatch,模型把靠雪山方向理解为远岸，落位尺度过远，角色几乎不可读。,41.2,446.26,312.36
G04-E2-R2,G04,E2,2,湖岸靠雪山方向的岸草,3,1,4,5,2,2,3,2,3,mask_wrong_target;mask_size_drift;character_outside_mask;interaction_mismatch,同样选择远岸，但两轮中心相差约 76px，未形成稳定具体点位。,41.77,521.65,318.16
G05-E1-R1,G05,E1,1,左侧红色岩柱前平地,5,4,5,5,4,3,4,2,3,character_outside_mask;interaction_mismatch,红岩柱前平地和角色尺度较好，但没有体现抬头观察纹理。,119.62,266.5,469.5
G05-E1-R2,G05,E1,2,左侧红色岩柱前平地,5,2,5,5,3,2,4,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,圆心稳定但直径从约 120px 降到 59px，证明尺寸不可复现。,59.03,284.78,466.02
G05-E2-R1,G05,E2,1,盐湖与前景草地交界,4,3,4,5,4,3,4,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,正确选择盐湖与陆地交界，角色站位自然但未举手遮光。,88.23,724.12,617.96
G05-E2-R2,G05,E2,2,盐湖与前景草地交界,4,1,4,5,3,2,4,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,圆心几乎复现，但尺寸缩小一半；说明位置与尺寸是两种独立能力。,44.58,727.64,615.18
G06-E1-R1,G06,E1,1,山脊孤树下方平地,5,1,5,5,2,2,4,4,3,mask_size_drift;character_outside_mask,准确理解孤树下方并生成靠树动作，但圆与角色都过小。,32.74,1028.22,358.89
G06-E1-R2,G06,E1,2,山脊孤树下方平地,5,1,5,5,2,2,4,3,3,mask_size_drift;character_outside_mask,目标语义正确，圆心有约 37px 漂移，互动表达弱于首轮。,37.81,1004.35,331.16
G06-E2-R1,G06,E2,1,前景 S 形土路,5,5,5,5,4,3,5,2,3,character_outside_mask;interaction_mismatch,唯一接近 108px 的 Mask，前景土路站位自然，但角色未回头看孤树。,106.19,765.81,588.44
G06-E2-R2,G06,E2,2,前景 S 形土路,5,2,5,5,3,2,5,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,仍在土路，但两轮中心漂移约 58px、直径差约 47px。,59.15,739.97,640.0
G07-E1-R1,G07,E1,1,木阶下方第一段宽台阶,5,3,5,5,4,3,5,2,3,mask_size_drift;character_outside_mask;interaction_mismatch;background_drift,正确落在下方宽台阶，但角色未扶边观察，森林细节发生较多重绘。,71.96,616.66,638.67
G07-E1-R2,G07,E1,2,木阶下方第一段宽台阶,5,3,5,5,4,3,5,2,3,mask_size_drift;character_outside_mask;interaction_mismatch;background_drift,仍命中台阶，但中心漂移约 75px；动作保持为普通站立。,80.4,638.38,567.23
G07-E2-R1,G07,E2,1,右侧粗树干苔藓根部,5,2,4,5,3,2,4,3,3,mask_size_drift;character_outside_mask;background_drift,准确找到右侧苔藓根部，角色靠近树根但触碰动作不够明确。,64.51,980.07,549.39
G07-E2-R2,G07,E2,2,右侧粗树干苔藓根部,5,2,4,5,4,3,4,3,3,mask_size_drift;character_outside_mask;background_drift,两轮语义位置较稳定，但仍不能遵守固定直径和严格边界。,69.16,964.14,536.01
G08-E1-R1,G08,E1,1,左侧高岩柱前砂砾地,5,3,5,5,4,3,5,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,准确选择左侧高岩柱前砂砾地，角色身份清楚但没有观察条带的动作。,82.68,334.22,631.49
G08-E1-R2,G08,E1,2,左侧高岩柱前砂砾地,5,3,5,5,4,3,5,2,3,mask_size_drift;character_outside_mask;interaction_mismatch;background_drift,同一语义区域内复现，但场景纹理有可测重绘，动作仍为普通站立。,89.03,355.58,608.92
G08-E2-R1,G08,E2,1,右侧小岩柱前砂砾地,5,3,5,5,4,3,5,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,命中右侧小岩柱前方，但没有体现抬头观察。,73.19,984.53,637.67
G08-E2-R2,G08,E2,2,右侧小岩柱前砂砾地,5,2,5,5,3,2,5,2,3,mask_size_drift;character_outside_mask;interaction_mismatch,仍在目标附近，但两轮中心漂移约 86px，角色尺寸和位置不可称为稳定。,60.62,1065.64,665.5
